2026-03-13 23:39:07.938 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.002s
2026-03-13 23:39:07.945 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
2026-03-13 23:39:07.972 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0016s
2026-03-13 23:39:09.034 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.6041s
2026-03-13 23:39:09.043 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 200 | 0.0065s
2026-03-13 23:39:09.453 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4017s
2026-03-13 23:39:09.855 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3988s
2026-03-13 23:39:09.859 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 403 | 0.0022s
2026-03-13 23:39:09.869 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.0019s
2026-03-13 23:39:10.674 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3984s
2026-03-13 23:39:10.682 | INFO     | app.middleware.logging:logging_middleware:12 - PUT /discounts/1 | 200 | 0.0047s
2026-03-13 23:39:11.485 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3978s
2026-03-13 23:39:11.493 | INFO     | app.middleware.logging:logging_middleware:12 - DELETE /discounts/1 | 200 | 0.0033s
2026-03-13 23:39:11.496 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 404 | 0.0015s
2026-03-13 23:39:11.504 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.001s
2026-03-13 23:39:11.510 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0011s
2026-03-13 23:39:11.516 | INFO     | app.middleware.logging:logging_middleware:12 - GET /nonexistent-endpoint | 404 | 0.0006s
2026-03-13 23:39:11.522 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.002s
2026-03-13 23:39:11.545 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 401 | 0.0015s
2026-03-13 23:39:11.950 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3986s
2026-03-13 23:39:12.350 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3976s
2026-03-13 23:39:31.486 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1323s
2026-03-13 23:39:31.916 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.412s
2026-03-13 23:39:32.334 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4159s
2026-03-13 23:39:51.473 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1356s
2026-03-13 23:39:51.928 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4272s
2026-03-13 23:39:52.331 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4002s
2026-03-13 23:39:52.335 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0021s
2026-03-13 23:39:52.339 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0017s
2026-03-13 23:39:53.502 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.757s
2026-03-13 23:39:53.926 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4208s
2026-03-13 23:39:53.932 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 200 | 0.003s
2026-03-13 23:39:55.200 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4001s
2026-03-13 23:39:55.603 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4001s
2026-03-13 23:39:55.608 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 404 | 0.0019s
2026-03-13 23:39:55.620 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0019s
2026-03-13 23:39:55.629 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0017s
